"Pt-0","true","36.36970376937883","3.5983679676471088","55.29424907070565","18.764600043536635"
"Pt-1","true","46.95258389999969","8.291645242965926","65.17171282510691","23.42374109538037"
"Pt-2","true","43.547657249278195","3.4143178784189203","62.28684385437899","18.936167140914726"
"Pt-3","true","42.99550698159363","31.021831262647247","60.20332737551994","45.38079937258729"
"Pt-4","true","12.167117035872003","28.62918010268079","30.232744179624365","41.053495916495415"
"Pt-5","true","13.455467660469324","8.199620198351829","32.47653115685719","21.17995411814755"
"Pt-6","true","51.55383613070441","16.849974392076703","69.338745782825","31.918077509190347"
"Pt-7","true","42.44335671390906","26.880704255012994","60.043056877146164","40.893225418121645"
"Pt-8","true","21.829746720351917","3.4143178784189203","41.29140856741471","17.654003153924542"
"Pt-9","true","20.081270872684122","10.316196224476","39.04762159018189","24.225093587249237"
"Pt-10","true","18.056719891174044","2.402042387663883","36.64356411457529","16.371839166934357"
